text,sentiment,result
"RT @RobertBeadles: Yo💥
Enter to WIN 1,000 Monarch Tokens✅

US Stock Market Crashes &amp; what we can LEARN from them PT3!

RETWEET, WATCH video…",positive,positive
"#SriLanka surcharge on fuel removed!
⛽📉
The surcharge of Rs.26 imposed on diesel and petrol has been revoked with effect from midnight on June 23 says Power, Energy and Transport Minister Mahinda. Amaraweera -Adaderana-

#lka #FuelPrices #taxes #economy #stocks #StockMarket",negative,negative
Net issuance increases to fund fiscal programs &gt; yields spike higher &gt; risk off: #stocks and #EMFX correct lower &gt; #Fed comes in with #YCC &gt; stocks to new all time highs with 20% unemployment and -25% GDP. Fin.,positive,negative
RT @bentboolean: How much of Amazon's traffic is served by Fastly? Help us find out by running this tool from your IP address: https://t.co…,positive,neutral
$AMD Ryzen 4000 desktop CPUs looking ‘great’ and on track to launch in 2020 https://t.co/y7yYvXOVYJ #madtweets #stocks #cnbc #AMD,positive,positive
"RT @QuantTrend: Reduce your portfolio RISK! GOLD is a perfect tail HEDGE!

Central banks balance sheet expansion &amp; large fiscal deficits &amp;…",positive,negative
"$863.69 Million in Sales Expected for Spirit AeroSystems Holdings, Inc. $SPR This Quarter https://t.co/zoqBvspVSj #stocks",positive,neutral
"RT @ArjunKharpal: #Apple has cut the prices of the iPhone 11 range by about 12-13% in China. It's an uncommon move. 

These discounts are n…",negative,negative
"RT @SMA_alpha: The #CDC U.S. New Case data has a 2 day lag, but saw another encouraging decline #WHO Global New Case data still flat at the…",negative,negative
"Where to Look for Dependable Dividends
Read More &gt; https://t.co/qKvNFF2ih5
#etf #investing #stocks #business #news",neutral,positive
RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…,neutral,neutral
Guys if market stays below 10000 till 2 expect a major major crash in nifty #nifty #banknifty #stocks,negative,neutral
