text,sentiment,cleaned_text,final_result
"RT @RobertBeadles: Yo💥
Enter to WIN 1,000 Monarch Tokens✅

US Stock Market Crashes &amp; what we can LEARN from them PT3!

RETWEET, WATCH video…",positive,"RT : Yo💥
Enter to WIN 1,000 Monarch Tokens✅

US Stock Market Crashes &amp; what we can LEARN from them PT3!

RETWEET, WATCH video…",neutral
"#SriLanka surcharge on fuel removed!
⛽📉
The surcharge of Rs.26 imposed on diesel and petrol has been revoked with effect from midnight on June 23 says Power, Energy and Transport Minister Mahinda. Amaraweera -Adaderana-

#lka #FuelPrices #taxes #economy #stocks #StockMarket",negative," surcharge on fuel removed!
⛽📉
The surcharge of Rs.26 imposed on diesel and petrol has been revoked with effect from midnight on June 23 says Power, Energy and Transport Minister Mahinda. Amaraweera -Adaderana-

     ",negative
Net issuance increases to fund fiscal programs &gt; yields spike higher &gt; risk off: #stocks and #EMFX correct lower &gt; #Fed comes in with #YCC &gt; stocks to new all time highs with 20% unemployment and -25% GDP. Fin.,positive,Net issuance increases to fund fiscal programs &gt; yields spike higher &gt; risk off:  and  correct lower &gt;  comes in with  &gt; stocks to new all time highs with 20% unemployment and -25% GDP. Fin.,positive
RT @bentboolean: How much of Amazon's traffic is served by Fastly? Help us find out by running this tool from your IP address: https://t.co…,positive,RT : How much of Amazon's traffic is served by Fastly? Help us find out by running this tool from your IP address: ,neutral
$AMD Ryzen 4000 desktop CPUs looking ‘great’ and on track to launch in 2020 https://t.co/y7yYvXOVYJ #madtweets #stocks #cnbc #AMD,positive,$AMD Ryzen 4000 desktop CPUs looking ‘great’ and on track to launch in 2020     ,positive
"RT @QuantTrend: Reduce your portfolio RISK! GOLD is a perfect tail HEDGE!

Central banks balance sheet expansion &amp; large fiscal deficits &amp;…",positive,"RT : Reduce your portfolio RISK! GOLD is a perfect tail HEDGE!

Central banks balance sheet expansion &amp; large fiscal deficits &amp;…",positive
"$863.69 Million in Sales Expected for Spirit AeroSystems Holdings, Inc. $SPR This Quarter https://t.co/zoqBvspVSj #stocks",positive,"$863.69 Million in Sales Expected for Spirit AeroSystems Holdings, Inc. $SPR This Quarter  ",neutral
"RT @ArjunKharpal: #Apple has cut the prices of the iPhone 11 range by about 12-13% in China. It's an uncommon move. 

These discounts are n…",negative,"RT :  has cut the prices of the iPhone 11 range by about 12-13% in China. It's an uncommon move. 

These discounts are n…",negative
"RT @SMA_alpha: The #CDC U.S. New Case data has a 2 day lag, but saw another encouraging decline #WHO Global New Case data still flat at the…",negative,"RT : The  U.S. New Case data has a 2 day lag, but saw another encouraging decline  Global New Case data still flat at the…",negative
"Where to Look for Dependable Dividends
Read More &gt; https://t.co/qKvNFF2ih5
#etf #investing #stocks #business #news",neutral,"Where to Look for Dependable Dividends
Read More &gt; 
    ",neutral
RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…,neutral,RT : Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…,neutral
Guys if market stays below 10000 till 2 expect a major major crash in nifty #nifty #banknifty #stocks,negative,Guys if market stays below 10000 till 2 expect a major major crash in nifty   ,negative
How will the future fly for Spirit Air $SAVE ? #Blog with Stocks&amp;Sports on $FB 🤖 Bots &amp; AI also welcome to blog about #salesforce $CRM @Tommycoulter4 https://t.co/SBae6qvO6p,neutral,How will the future fly for Spirit Air $SAVE ?  with Stocks&amp;Sports on $FB 🤖 Bots &amp; AI also welcome to blog about  $CRM  ,neutral
Interesting comparison to 2007-09 market of $SPX stocks above 200 day. Much of 2008 bear market was under that 50 level marked by red line. Once it got above 65% level in summer 2009 the smoke cleared. Not as weak in 2020 but something to watch https://t.co/eWP915CcBj,negative,Interesting comparison to 2007-09 market of $SPX stocks above 200 day. Much of 2008 bear market was under that 50 level marked by red line. Once it got above 65% level in summer 2009 the smoke cleared. Not as weak in 2020 but something to watch ,neutral
"#CANBK

CANBK 25-Jun-2020 , Now @ 93++++++++++++++++

#nifty #banknifty #equity #stocks #analysis #trading #sp https://t.co/OSGXfbjKqf",neutral,"

CANBK 25-Jun-2020 , Now @ 93++++++++++++++++

       ",neutral
"4/ that is, Spot premium. No major price peaks during this phase.

During distribution, funding stays largely positive &amp; futures trade at premium constantly.

So, constant spot premium is a precursor to organic demand $BTC #BTC #Bitcoin #TA #SP500",positive,"4/ that is, Spot premium. No major price peaks during this phase.

During distribution, funding stays largely positive &amp; futures trade at premium constantly.

So, constant spot premium is a precursor to organic demand $BTC    ",neutral
Chile: On The Road to Recovery in 2021? https://t.co/xp152EE1hm $AAPL $TSLA $FB https://t.co/cHvzQi7Fv3,neutral,Chile: On The Road to Recovery in 2021?  $AAPL $TSLA $FB ,neutral
"RT @ForecastCity: Latest #EURNZD #TradeIdeas &amp; #TechnicalAnalysis is FREE now!

2686 pip #Profit in 82 days!

#Euro #EUR #NZD #Money #Forex…",positive,"RT : Latest   &amp;  is FREE now!

2686 pip  in 82 days!

    …",neutral
"$VIR 

Since April i posted these levels 

Just follow the thread and the levels for support &amp; resistance / SL &amp; TP .

$SPX #nasdaq #TechnicalAnalysis #StockMarket #daytrading
$SPY $QQQ $IWM https://t.co/SsJ3JYbP0v https://t.co/2J0zIly9Yy",positive,"$VIR 

Since April i posted these levels 

Just follow the thread and the levels for support &amp; resistance / SL &amp; TP .

$SPX    
$SPY $QQQ $IWM  ",neutral
@EpiphronR  China Population 1.3 Billion Reasons $30 $IQ IQIYI &amp; $GLUU Short Squeeze Bullish Call Especially w New Sorcerer's Arena Game NetFlix Is At All Time High $NFLX $DIS Netflix +4.7% to record high as Imperial bumps PT https://t.co/h2HBNi7ir0 $AMZN $INTC $SNAP $AAPL $AMAT,neutral,  China Population 1.3 Billion Reasons $30 $IQ IQIYI &amp; $GLUU Short Squeeze Bullish Call Especially w New Sorcerer's Arena Game NetFlix Is At All Time High $NFLX $DIS Netflix +4.7% to record high as Imperial bumps PT  $AMZN $INTC $SNAP $AAPL $AMAT,positive
"RT @RafKadian: $tsla &amp; $nio fot the day #trading #stocks
#RafTrading111 @adssgroup https://t.co/zwFA8po9YI",neutral,"RT : $tsla &amp; $nio fot the day  
  ",neutral
"Q1 2020 EPS Estimates for Merck &amp; Co., Inc. $MRK Lowered by SVB Leerink  https://t.co/vi2fdhysb8",negative,"Q1 2020 EPS Estimates for Merck &amp; Co., Inc. $MRK Lowered by SVB Leerink  ",negative
"RT @JohriNikhil: 3 of 8 #banks that infused confidence capital in #YesBank sold partial stakes from the ""free from lock-in"" portion at btw…",negative,"RT : 3 of 8  that infused confidence capital in  sold partial stakes from the ""free from lock-in"" portion at btw…",neutral
"RT @Reveretrading: As promised, June 17 Plan

*Click on Picture to Expand* 📌

Please feel free to share or like, I would appreciate your su…",neutral,"RT : As promised, June 17 Plan

*Click on Picture to Expand* 📌

Please feel free to share or like, I would appreciate your su…",neutral
"8911.....IT IS THE BEST TIME TO COVER YOUR SHORTS

#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/VjBrk7ugr0",positive,"8911.....IT IS THE BEST TIME TO COVER YOUR SHORTS

        
  
         
 ",neutral
"RT @FreeShyloNow: GM #Shylobots 🤖 🌄☕

3202🎯 LIS🔺 #ES_F $SPX $SPY

☝3202🎯📈😈

3209🎯 3220🎯 3229🎯 3232🎯

👎 3202🎯📉🐻

3194🎯 3189🎯 3182🎯 3177🎯

31…",neutral,"RT : GM  🤖 🌄☕

3202🎯 LIS🔺  $SPX $SPY

☝3202🎯📈😈

3209🎯 3220🎯 3229🎯 3232🎯

👎 3202🎯📉🐻

3194🎯 3189🎯 3182🎯 3177🎯

31…",neutral
"There are cases where investing in a taxable account over an IRA makes sense. If you’re in a high income tax bracket, paying the lower capital gains tax rate on sales could save you on your tax bill. #stocks #markets #economy @StegentEquity Stegent Equity Advisors, Inc https://t.co/K6hex2nGOK",positive,"There are cases where investing in a taxable account over an IRA makes sense. If you’re in a high income tax bracket, paying the lower capital gains tax rate on sales could save you on your tax bill.     Stegent Equity Advisors, Inc ",neutral
"#OfficeSupply orders up significantly as #USA shifted to #workfromhome.

See more data: https://t.co/W29QPIicmd

#Covid19 #alternativedata #HomeOffice #OfficeDepot #OfficeMax #Shopping #Staples #FedExKinkos #USPS #DHL #TNTExpress $ODP $CIO $FDX $UPS $HPP $HIW $HYG $AMZN $EBAY $M https://t.co/mx1GzTY6wo",positive," orders up significantly as  shifted to .

See more data: 

           $ODP $CIO $FDX $UPS $HPP $HIW $HYG $AMZN $EBAY $M ",positive
#stocks making it too easy at times.  #OptionsTrading is my new love and it’s here to stay! https://t.co/NaktOndY98,positive, making it too easy at times.   is my new love and it’s here to stay! ,neutral
"$T  Jul 14    
- Daily stock market timing forecast -    
◆ Investing view    
=&gt; Buy - Bullish    
◆ Search for the daily stock market timing forecast    
https://t.co/cgw2OmhClQ    
◆ Upper~Lower stock... https://t.co/5iEpNwOVuI https://t.co/vdb3vvRLNX",positive,"$T  Jul 14    
- Daily stock market timing forecast -    
◆ Investing view    
=&gt; Buy - Bullish    
◆ Search for the daily stock market timing forecast    
    
◆ Upper~Lower stock...  ",neutral
RT @leadlagreport: Several large corporations are stopping advertising on Facebook either till July or for the whole of this year. If these…,negative,RT : Several large corporations are stopping advertising on Facebook either till July or for the whole of this year. If these…,negative
$AMZN nice little coiling here.,positive,$AMZN nice little coiling here.,neutral
"TOS frozen for anyone else?

#es_f $spx $spy #options #futures #cl_f $forex",neutral,"TOS frozen for anyone else?

 $spx $spy    $forex",neutral
